Edad;Liga;A1;A2;A3;NS1;NS2;NS3;CCP1;CCP2;CCP3;I1;I2;I3;SC1;SC2;SC3;SC4;SC5;SC6;SC7;SC8;AB1;AB2;AB3;AB4;AB5;SL1;SL2;SL3;SL4;SL5;AD1;AD2;AD3;AD4;AD5
24;1;1;7;7;6;4;6;1;2;1;1;1;1;7;7;7;7;7;5;7;6;5;6;7;6;6;5;6;6;6;4;3;7;7;7;7
28;1;7;5;7;7;1;4;3;3;1;1;1;1;7;7;7;6;7;6;7;6;7;7;7;7;7;4;4;2;4;3;5;5;5;1;7
20;1;5;7;7;7;5;4;5;7;4;5;5;4;6;7;7;7;7;7;1;7;6;5;6;6;6;7;3;3;3;5;2;2;2;2;7
21;1;7;7;6;7;5;7;5;7;4;4;4;4;7;7;7;7;7;6;7;5;4;6;7;7;7;6;7;7;7;5;6;7;7;7;7
18;1;5;7;7;7;4;7;4;4;4;2;4;4;7;4;3;5;3;3;3;5;6;6;6;6;6;5;5;4;6;3;7;7;7;4;7
21;1;7;7;7;7;7;7;4;6;3;5;5;4;5;6;6;3;6;6;6;6;4;4;5;5;6;7;6;3;4;4;5;5;6;6;6
23;1;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
30;1;7;7;7;7;5;7;5;5;4;1;1;1;7;7;7;7;7;6;7;6;6;6;7;6;6;7;5;1;7;5;7;7;7;3;7
28;1;7;7;7;7;7;7;4;4;6;7;7;7;4;6;6;6;7;6;6;5;3;2;5;5;3;7;7;7;5;7;7;7;6;7;7
20;1;5;5;6;6;4;4;2;4;3;3;3;3;5;5;5;4;2;6;4;5;3;3;2;3;4;5;5;2;2;5;5;5;5;5;1
19;1;6;7;7;7;6;6;5;6;6;6;7;7;5;6;6;5;6;4;7;7;5;5;6;6;6;7;6;5;7;5;7;7;7;6;5
14;0;7;7;7;7;7;7;5;7;7;3;7;7;7;7;7;7;7;7;7;7;5;5;7;6;7;7;7;7;7;6;7;7;7;7;7
27;1;4;4;7;4;6;5;3;5;3;2;2;3;4;7;6;6;7;5;7;4;4;3;5;3;4;4;2;1;3;3;1;1;1;1;2
35;0;4;5;6;6;6;6;4;3;3;3;3;3;6;5;6;6;5;6;5;6;4;4;4;4;6;6;5;5;5;6;3;3;3;6;5
